"Notes"	"County"	"CountyCode"	"AgeofMother9"	"AgeofMother9Code"	"Year"	"YearCode"	Births	FemalePopulation	FertilityRate
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"2006"	"2006"	911	34873	26.12
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	"2006"	"2006"	2454	27888	87.99
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	"2006"	"2006"	3469	29749	116.61
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	"2006"	"2006"	3640	31495	115.57
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	"2006"	"2006"	2398	38263	62.67
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	"2006"	"2006"	627	42064	14.91
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	"2006"	"2006"	57	Not Available	Not Available
	"El Dorado County, CA"	"06017"	"15-19 years"	"15-19"	"2006"	"2006"	113	6366	17.75
	"El Dorado County, CA"	"06017"	"20-24 years"	"20-24"	"2006"	"2006"	424	3963	106.99
	"El Dorado County, CA"	"06017"	"25-29 years"	"25-29"	"2006"	"2006"	538	3843	139.99
	"El Dorado County, CA"	"06017"	"30-34 years"	"30-34"	"2006"	"2006"	504	4229	119.18
	"El Dorado County, CA"	"06017"	"35-39 years"	"35-39"	"2006"	"2006"	372	5915	62.89
	"El Dorado County, CA"	"06017"	"40-44 years"	"40-44"	"2006"	"2006"	88	7385	11.92
	"Fresno County, CA"	"06019"	"15-19 years"	"15-19"	"2006"	"2006"	2225	37429	59.45
	"Fresno County, CA"	"06019"	"20-24 years"	"20-24"	"2006"	"2006"	4992	34727	143.75
	"Fresno County, CA"	"06019"	"25-29 years"	"25-29"	"2006"	"2006"	4648	32765	141.86
	"Fresno County, CA"	"06019"	"30-34 years"	"30-34"	"2006"	"2006"	3149	27736	113.53
	"Fresno County, CA"	"06019"	"35-39 years"	"35-39"	"2006"	"2006"	1467	28382	51.69
	"Fresno County, CA"	"06019"	"40-44 years"	"40-44"	"2006"	"2006"	326	29475	11.06
	"Fresno County, CA"	"06019"	"45-49 years"	"45-49"	"2006"	"2006"	31	Not Available	Not Available
	"Humboldt County, CA"	"06023"	"15-19 years"	"15-19"	"2006"	"2006"	151	5025	30.05
	"Humboldt County, CA"	"06023"	"20-24 years"	"20-24"	"2006"	"2006"	428	6528	65.56
	"Humboldt County, CA"	"06023"	"25-29 years"	"25-29"	"2006"	"2006"	522	4347	120.08
	"Humboldt County, CA"	"06023"	"30-34 years"	"30-34"	"2006"	"2006"	359	3935	91.23
	"Humboldt County, CA"	"06023"	"35-39 years"	"35-39"	"2006"	"2006"	133	3593	37.02
	"Humboldt County, CA"	"06023"	"40-44 years"	"40-44"	"2006"	"2006"	45	4079	11.03
	"Imperial County, CA"	"06025"	"15-19 years"	"15-19"	"2006"	"2006"	478	6955	68.73
	"Imperial County, CA"	"06025"	"20-24 years"	"20-24"	"2006"	"2006"	883	5399	163.55
	"Imperial County, CA"	"06025"	"25-29 years"	"25-29"	"2006"	"2006"	845	4757	177.63
	"Imperial County, CA"	"06025"	"30-34 years"	"30-34"	"2006"	"2006"	576	4702	122.50
	"Imperial County, CA"	"06025"	"35-39 years"	"35-39"	"2006"	"2006"	294	5144	57.15
	"Imperial County, CA"	"06025"	"40-44 years"	"40-44"	"2006"	"2006"	43	5409	7.95
	"Kern County, CA"	"06029"	"15-19 years"	"15-19"	"2006"	"2006"	2120	31891	66.48
	"Kern County, CA"	"06029"	"20-24 years"	"20-24"	"2006"	"2006"	4638	27165	170.73
	"Kern County, CA"	"06029"	"25-29 years"	"25-29"	"2006"	"2006"	4145	26636	155.62
	"Kern County, CA"	"06029"	"30-34 years"	"30-34"	"2006"	"2006"	2734	24411	112.00
	"Kern County, CA"	"06029"	"35-39 years"	"35-39"	"2006"	"2006"	1164	25198	46.19
	"Kern County, CA"	"06029"	"40-44 years"	"40-44"	"2006"	"2006"	274	26452	10.36
	"Kings County, CA"	"06031"	"15-19 years"	"15-19"	"2006"	"2006"	359	5085	70.60
	"Kings County, CA"	"06031"	"20-24 years"	"20-24"	"2006"	"2006"	941	5194	181.17
	"Kings County, CA"	"06031"	"25-29 years"	"25-29"	"2006"	"2006"	731	4884	149.67
	"Kings County, CA"	"06031"	"30-34 years"	"30-34"	"2006"	"2006"	434	4368	99.36
	"Kings County, CA"	"06031"	"35-39 years"	"35-39"	"2006"	"2006"	184	4155	44.28
	"Kings County, CA"	"06031"	"40-44 years"	"40-44"	"2006"	"2006"	28	4142	6.76
	"Los Angeles County, CA"	"06037"	"15-19 years"	"15-19"	"2006"	"2006"	14810	361644	40.95
	"Los Angeles County, CA"	"06037"	"20-24 years"	"20-24"	"2006"	"2006"	33131	350013	94.66
	"Los Angeles County, CA"	"06037"	"25-29 years"	"25-29"	"2006"	"2006"	38645	384640	100.47
	"Los Angeles County, CA"	"06037"	"30-34 years"	"30-34"	"2006"	"2006"	37005	361126	102.47
	"Los Angeles County, CA"	"06037"	"35-39 years"	"35-39"	"2006"	"2006"	22218	379049	58.62
	"Los Angeles County, CA"	"06037"	"40-44 years"	"40-44"	"2006"	"2006"	5556	371205	14.97
	"Los Angeles County, CA"	"06037"	"45-49 years"	"45-49"	"2006"	"2006"	367	Not Available	Not Available
	"Madera County, CA"	"06039"	"15-19 years"	"15-19"	"2006"	"2006"	368	5441	67.63
	"Madera County, CA"	"06039"	"20-24 years"	"20-24"	"2006"	"2006"	781	5022	155.52
	"Madera County, CA"	"06039"	"25-29 years"	"25-29"	"2006"	"2006"	752	5356	140.40
	"Madera County, CA"	"06039"	"30-34 years"	"30-34"	"2006"	"2006"	452	5331	84.79
	"Madera County, CA"	"06039"	"35-39 years"	"35-39"	"2006"	"2006"	198	5452	36.32
	"Madera County, CA"	"06039"	"40-44 years"	"40-44"	"2006"	"2006"	63	5389	11.69
	"Marin County, CA"	"06041"	"15-19 years"	"15-19"	"2006"	"2006"	81	6177	13.11
	"Marin County, CA"	"06041"	"20-24 years"	"20-24"	"2006"	"2006"	273	4582	59.58
	"Marin County, CA"	"06041"	"25-29 years"	"25-29"	"2006"	"2006"	452	4724	95.68
	"Marin County, CA"	"06041"	"30-34 years"	"30-34"	"2006"	"2006"	787	6357	123.80
	"Marin County, CA"	"06041"	"35-39 years"	"35-39"	"2006"	"2006"	833	9225	90.30
	"Marin County, CA"	"06041"	"40-44 years"	"40-44"	"2006"	"2006"	294	10285	28.59
	"Marin County, CA"	"06041"	"45-49 years"	"45-49"	"2006"	"2006"	14	Not Available	Not Available
	"Merced County, CA"	"06047"	"15-19 years"	"15-19"	"2006"	"2006"	643	11143	57.70
	"Merced County, CA"	"06047"	"20-24 years"	"20-24"	"2006"	"2006"	1412	9090	155.34
	"Merced County, CA"	"06047"	"25-29 years"	"25-29"	"2006"	"2006"	1325	8401	157.72
	"Merced County, CA"	"06047"	"30-34 years"	"30-34"	"2006"	"2006"	809	8008	101.02
	"Merced County, CA"	"06047"	"35-39 years"	"35-39"	"2006"	"2006"	449	8253	54.40
	"Merced County, CA"	"06047"	"40-44 years"	"40-44"	"2006"	"2006"	98	8350	11.74
	"Monterey County, CA"	"06053"	"15-19 years"	"15-19"	"2006"	"2006"	844	15415	54.75
	"Monterey County, CA"	"06053"	"20-24 years"	"20-24"	"2006"	"2006"	2100	14460	145.23
	"Monterey County, CA"	"06053"	"25-29 years"	"25-29"	"2006"	"2006"	2004	13973	143.42
	"Monterey County, CA"	"06053"	"30-34 years"	"30-34"	"2006"	"2006"	1491	12990	114.78
	"Monterey County, CA"	"06053"	"35-39 years"	"35-39"	"2006"	"2006"	828	13014	63.62
	"Monterey County, CA"	"06053"	"40-44 years"	"40-44"	"2006"	"2006"	187	13040	14.34
	"Napa County, CA"	"06055"	"15-19 years"	"15-19"	"2006"	"2006"	138	4465	30.91
	"Napa County, CA"	"06055"	"20-24 years"	"20-24"	"2006"	"2006"	377	3756	100.37
